k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,194195.6570750232,0.22257597086906206,7075.547704309747,1.696691938191069
3,170317.06387561664,0.1804067465216947,6136.512117323209,1.9088506774029141
4,154299.6755857583,0.21409933822731989,5553.419580971085,1.5738349245355585
5,141368.4256382201,0.19931965334660035,5231.826579306562,1.561532330989977
6,126526.0840521764,0.19224690594672647,5380.013100977502,1.5060886529839268
7,119755.00616184207,0.17414062943499864,5019.307293789834,1.5031085209741668
8,105713.08273623127,0.18901046296197518,5442.696630002532,1.3696019242255333
9,101126.65703684214,0.1764876227035044,5148.207805781459,1.4655907430491557
10,96801.84522794804,0.18098422243271672,4929.3331345180495,1.461328524945466
